"時期","カテゴリー","タイトル","コメント","公開URL"

"2026.07.15","技術記事","FastAPI起動時に仮想環境のPythonが使われなかった原因と解決策","Finderでフォルダを整理したことでプロジェクトの保存場所が変わり、既存の仮想環境が正しく機能しなくなりました。仮想環境の再作成、使用中のPythonの確認、Uvicornの起動方法を整理しています。","https://ki-hi-ro.com/cause-and-solution-python-from-the-virtual-environment-was-not-used-when-starting-fastapi/"
"2026.06.19","制作物","My Portfolio｜Renderのスリープを解除","発注者が待ち時間なくサイトを閲覧できるように、RenderのWebサービスをStarterインスタンスへ変更しました。","https://ki-hi-ro.com/my-portfolio/#no-wait"
"2026.06.18 〜 2026.06.19","制作物","Django × React ToDoアプリ｜フェーズ2：開発再始動とデータ表示","2025年3月に開発を中断していたDjango × ReactのToDoアプリ開発を再開しました。仮想環境、Vite、Djangoサーバーで発生した問題を解消した後、モデルにカテゴリーと期限を追加し、React側の型定義を修正。タスク名・カテゴリー・完了状態・期限の4項目をReact画面へ表示するマイルストーン①を達成しました。","https://ki-hi-ro.com/django-and-react-todo/#phase-2"
"2026.06.12","技術ブログ","My Portfolio｜WordPressの記事をREST APIで取得してポートフォリオへ反映","WordPressの記事をAPIで取得し、Googleスプレッドシートで選別してポートフォリオへ同期する仕組みを構築しました。","https://ki-hi-ro.com/wordpress%e3%81%ae%e8%a8%98%e4%ba%8b%e3%82%92rest-api%e3%81%a7%e5%8f%96%e5%be%97%e3%81%97%e3%80%81google%e3%82%b9%e3%83%97%e3%83%ac%e3%83%83%e3%83%89%e3%82%b7%e3%83%bc%e3%83%88%e3%81%a7%e9%81%b8/"
"2026.06.04","技術ブログ","My Portfolio｜FastAPIのトップページのルーティングの仕組み","URLへのアクセスからJinja2テンプレートが表示されるまでのFastAPIの処理を、実際のコードを使って整理しました。","https://ki-hi-ro.com/fastapi%e3%81%ae%e3%83%88%e3%83%83%e3%83%97%e3%83%9a%e3%83%bc%e3%82%b8%e3%81%ae%e3%83%ab%e3%83%bc%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e3%81%ae%e4%bb%95%e7%b5%84%e3%81%bf/"
"2026.06.03","制作物","My Portfolio｜Renderで初回公開","開発開始から約1週間でRenderへデプロイし、外部からアクセスできる状態にしました。","https://ki-hi-ro.com/my-portfolio/#render-publish"
"2026.05.28","制作物","My Portfolio｜開発を開始","FastAPIを使い、制作物・技術記事・職務経歴を管理できるポートフォリオサイトの開発を始めました。","https://ki-hi-ro.com/my-portfolio/#start"
"2026.05.23 〜 2026.06.04","制作物","Go｜買い物リスト作成アプリ","求人で見かけるGoに触れるため、商品の追加・購入済みチェック・削除ができる買い物リストアプリを制作しました。Goの導入からローカル実行、GitHubでの管理、Renderへのデプロイ、スマホ向けレスポンシブ対応、運用後の機能改善まで一通り行いました。","https://ki-hi-ro.com/go-shopping-list-app/"
"2026.01.01","制作物","CLIで動く就業管理システム","実務で扱った就業管理システムを題材に、従業員登録、出退勤登録、勤怠レポートを備えたCLIアプリを制作しました。","https://github.com/ki-hi-ro/Employment-management-system"
"2025.11 - 2025.12","職務経歴","就業管理システムの保守・運用","旧システムからの移行、打刻機の設定と通信テスト、お客様からの問い合わせ対応などを担当しました。",""
"2026.01 - 2026.05","職務経歴","就業管理システムの保守・運用","旧システムからの移行、打刻機の設定と通信テスト、お客様からの問い合わせ対応などを担当しました。",""
"2025.08.26","制作物","Vue 3版・抽選型ビンゴゲーム","Vue.jsの学習を目的として、番号の手動・自動抽選、ビンゴ判定、リセット機能を備えたビンゴゲームを制作しました。閲覧時のユーザー名とパスワードは、どちらも「khiro」です。","https://ki-hi-ro.com/work/bingo/vue-js/bingo.html"
"2025.07 - 2025.09","職務経歴","Python API開発エンジニア・プログラマー","FastAPIでAGVの位置情報を取得し、BFSで最短経路を算出してRMSへJSONを返すプログラムを制作しました。",""
"2025.03.01 〜 2025.03.15","制作物","Django × React ToDoアプリ｜フェーズ1：基盤構築とAPI連携","Django REST FrameworkとReactを使ったToDoアプリ開発の初期フェーズとして、開発環境の構築、ルーティング理解、CORS設定、エラー解決、API連携によるタスク一覧表示までを進めました。","https://ki-hi-ro.com/django-and-react-todo/#phase-1"
"2025.01 - 2025.06","職務経歴","ETLのデータフロー構築・プログラマー","前年から継続してETL処理のPython移行に携わり、実装、単体テスト、システムテスト、修正対応まで担当しました。",""
"2024.10 - 2024.12","職務経歴","ETLのデータフロー構築・プログラマー","Pentahoで構築されたETL処理をPythonへ移行する業務に携わり、既存仕様の確認、仕様書修正、実装、単体テストを担当しました。",""
"2024.01 - 2024.03","職務経歴","自動車の居眠り運転防止システム・仕様書改版","前年から継続して、自動車の居眠り運転防止システムに関する仕様書の改版業務を担当しました。既存仕様を確認しながら、変更内容を文書へ反映しました。",""
"2023.03 - 2023.12","職務経歴","自動車の居眠り運転防止システム・仕様書改版","2023年2月にSES企業へ入社し、同年3月から現場へ配属されました。自動車の居眠り運転防止システムに関する仕様書の改版業務を担当しました。",""
"2022.12.01","制作物","my-react","Web制作からWeb開発へ進むため、ReactとNext.jsを学ぶ目的で制作したWebアプリです。","http://my-react-lemon.vercel.app/"
"2022.08.25","制作物","Contact Form 7の表内チェックボックス実装","講座一覧の表から直接申し込めるよう、Contact Form 7のチェックボックスを表内へ配置するサンプルを制作しました。","https://ki-hi-ro.com/checkbox-table-contact-form7-sample/"
"2022.04 - 継続中","制作物","自分のブログ","WordPressで構築し、2026年6月時点で1,500記事を超えるまで継続している個人ブログです。","https://ki-hi-ro.com/"
"2021.02","制作物","中小企業向けWebサイトのWordPressテーマ実装","制作会社から支給されたPhotoshopカンプをもとに、WordPressの新規テーマ構築とレスポンシブ対応を行いました。",""
"2020.05 - 2020.11","制作物","Adobe XDのデザインデータからのフロントエンドコーディング","クラウドワークスの募集へ応募し、「完成イメージが膨らんだ」と評価いただいたことで受注につながりました。Adobe XDのデザインデータをもとに、HTML・CSS・JavaScript・jQueryでフロントエンドを実装し、初回納品後の修正、OGP設定、ディレクトリ構成の変更、グラフ表示機能の修正、リニューアルまで継続して対応しました。","https://ki-hi-ro.com/adobe-xd-cording/"
"2020.04.29","制作物","デザインカンプからのコーディング実践","PhotoshopとAdobe XDのデザインカンプをもとに、HTML・CSS・JavaScriptで静的サイトを制作しました。","https://ki-hi-ro.com/from-xd-link/"
"2020.04.15","制作物","MUJI HOTELの模写コーディング","実案件で感じたレスポンシブ対応の課題を克服するため、約2週間かけてPC・スマホ表示を実装しました。","https://ki-hi-ro.com/reproduce/Muji-Hotel/"
"2020.04","制作物","フリーランス向けサービス Workshipの模写コーディング","HTML・CSS・JavaScriptを使い、レスポンシブ対応やアニメーションを含むWebサイトを模写しました。","https://ki-hi-ro.com/reproduce/Workship/"
"2018.01 - 2018.10","職務経歴","ビジネスホテル・受付","引き続きビジネスホテルのフロント業務を担当し、予約管理、チェックイン・チェックアウト、お客様対応を行いました。英語力を活かした接客経験を積みました。","https://ki-hi-ro.com/frequently-asked-interview-questions/"
"2017.03 - 2017.12","職務経歴","ビジネスホテル・受付","新卒で入社した会社で、予約管理、チェックイン・チェックアウトなどのフロント業務を担当しました。TOEIC 840点の英語力を活かし、外国人のお客様への対応も行いました。","https://ki-hi-ro.com/frequently-asked-interview-questions/"

"2026.07.15","学習記録","Paizaスキルチェック｜Cランク合格・Python3","前回から11日後に再挑戦し、100点を6分3秒で取得しました。解答時間中央値13分17秒の半分以下で解きました。","https://ki-hi-ro.com/paiza-skill-check-126-minutes-last-time-6-this-time/"
"2026.07.04","学習記録","Paizaスキルチェック｜Cランク不合格・Python3","約7か月ぶりのスキルチェックで、解答に126分34秒かかりました。忘れていた知識を技術ブログに整理しながら取り組んだ、再開時点の記録です。","https://ki-hi-ro.com/paiza%e3%81%ae%e3%82%b9%e3%82%ad%e3%83%ab%e3%83%81%e3%82%a7%e3%83%83%e3%82%af%e5%95%8f%e9%a1%8c/#Paiza%E3%81%AE%E3%82%B9%E3%82%AD%E3%83%AB%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E5%95%8F%E9%A1%8C%E3%83%BBC%E3%83%A9%E3%83%B3%E3%82%AF%EF%BD%9CC159_%E5%BD%93%E9%81%B8%E9%80%9A%E7%9F%A5"
"2025.10.20","学習記録","Paizaスキルチェック｜Aランク不合格・Python3","Python3でAランク問題に挑戦しました。難易度の高い問題に長時間向き合った記録です。","https://paiza.jp/challenges/459/page/result"
"2025.10.15","学習記録","Paizaスキルチェック｜Bランク合格・Python3","Python3でBランク問題に挑戦し、110分43秒で正解、100点を取得しました。","https://paiza.jp/challenges/794/page/result"
"2025.10.14","学習記録","Paizaスキルチェック｜Bランク不合格・Python3","Python3でBランク問題に挑戦しました。長時間試行錯誤しましたが、この時点では正解に届きませんでした。","https://paiza.jp/challenges/666/page/result"
"2025.10.05","学習記録","Paizaスキルチェック｜Cランク合格・Python3","Python3でCランク問題に挑戦し、14分39秒で正解、100点を取得しました。","https://paiza.jp/challenges/710/page/result"
"2025.06.09","学習記録","Paizaスキルチェック｜Dランク合格・Python3","Python3でDランク問題に挑戦し、7分24秒で正解、100点を取得しました。","https://paiza.jp/challenges/667/page/result"
"2025.06.09","学習記録","Paizaスキルチェック｜Cランク不合格・Python3","Python3でCランク問題に挑戦しました。215分16秒取り組み、結果は81点でした。","https://paiza.jp/challenges/828/page/result"
